passage_title,passage_text,question_text,question_type,option_a,option_b,option_c,option_d,correct_answers,marks,negative_marks,solution_text
Practice Set 1,"",To whom is a high impact cost beneficial?,single_correct,Only buyers,Only sellers,Neither buyers nor sellers,Only arbitrageurs,C,1,0.25,"A high impact cost increases the buying price and reduces the selling price, making it disadvantageous to both buyers and sellers."
Practice Set 1,"",Initial margin to be paid in derivatives is set up taking into account the volatility of the underlying market. Generally,single_correct,"Lower the volatility, higher the initial margin","Higher the volatility, lower the initial margin","Higher the volatility, higher the initial margin",None of the above,C,1,0.25,"Higher volatility implies greater risk; hence, higher margins are imposed to safeguard traders and members."
Practice Set 1,"",_______ is the ratio of change in option premium for a unit change in volatility.,single_correct,Rho,Theta,Delta,Vega,D,1,0.25,Vega measures the sensitivity of the option premium to changes in market volatility.
Practice Set 1,"",In a derivatives exchange the networth requirement for a clearing member is higher than that of a non-clearing member - State whether True or False?,single_correct,True,False,,,A,1,0.25,Clearing members bear more responsibility and must maintain a higher net worth.
Practice Set 1,"",The risk that cannot be controlled by diversification of portfolio is,single_correct,Systematic Risk,Unsystematic Risk,Credit Risk,Operational Risk,A,1,0.25,Systematic risk affects the entire market and cannot be eliminated through diversification.
Practice Set 1,"",Can a long position in a Put option be closed out by taking a short position in a call option with identical exercise date and exercise price?,single_correct,Yes,No,,,B,1,0.25,"A long Put position must be closed by selling the same Put, not by taking a Call position."
Practice Set 1,"",After the initiation of the futures contract the price of the underlying asset has risen. In this situation,single_correct,Price change in underlying has no effect on positions,A long position becomes unprofitable,A short position becomes profitable,A long position becomes profitable,D,1,0.25,A rise in the underlying price benefits the buyer (long position) of the futures.
Practice Set 1,"",There are many products in the market which give high returns in a risk-free manner - True or False?,single_correct,True,False,,,B,1,0.25,Higher returns are generally associated with higher risks. No product gives high returns risk-free.
Practice Set 1,"",What will be the Delta for a Far Out-of-the-money option?,single_correct,Near 0,Near 1,Near -1,Near 2,A,1,0.25,"Far OTM options have very low probability of ending in-the-money, thus Delta nears zero."
Practice Set 1,"",The term mark-to-market means,single_correct,Process of checking portfolio profits/losses,The current / spot index price,Broker's intimation for additional funds,Daily revaluation of open positions by the exchange,D,1,0.25,MTM adjusts positions to reflect daily gains/losses based on market prices.
Practice Set 1,"",The margining system for index futures is based on,single_correct,Margin at risk,Price at risk,Volume at risk,Value at risk,D,1,0.25,Index futures margins are calculated using VAR methodology at 99% confidence level.
Practice Set 1,"",Mr. Ashu has bought 100 shares of ABC at Rs 980 per share and doesn't want to lose more than Rs 1000. What should he do?,single_correct,Stop loss at Rs 990,Stop loss at Rs 970,Limit buy at Rs 990,Limit sell at Rs 970,B,1,0.25,A Rs 10 drop would result in Rs 1000 loss on 100 shares. Hence stop loss at Rs 970.
Practice Set 1,"",A call option gives the buyer the right to buy the underlying at market price - True or False?,single_correct,True,False,,,B,1,0.25,"A call option gives the right to buy at the strike price, not the market price."
Practice Set 1,"",A trader buys a Jan ABC futures contract at Rs 768 (lot size 1200) and squares off at Rs 778. What is the profit/loss?,single_correct,Rs 12000,Rs 1200000,-Rs 12000,-Rs 10000,A,1,0.25,Profit per share = Rs 10 x 1200 = Rs 12000.
