passage_title,passage_text,question_text,question_type,option_a,option_b,option_c,option_d,correct_answers,marks,negative_marks,solution_text
Common Derivatives Foundations,"",Which of the following is NOT an exchange-traded derivative?,single_correct,Index Futures,Forward Contract,Stock Options,Index Options,B,1,0.25,"Forward contracts are customized over-the-counter (OTC) bilateral agreements, not traded on organized exchanges."
Common Derivatives Foundations,"",A market participant who enters into derivative contracts to eliminate or reduce the price risk of an existing asset is called a,single_correct,Speculator,Hedger,Arbitrageur,Day Trader,B,1,0.25,"Hedgers use derivatives to protect their existing cash market positions from adverse price fluctuations."
Common Derivatives Foundations,"",Which of the following parties has an obligation but no right in an option contract?,single_correct,Option Buyer,Option Holder,Option Writer,None of the above,C,1,0.25,"The option seller (writer) receives a premium and incurs an obligation to honor the contract if exercised by the buyer."
Common Derivatives Foundations,"",When the spot price of an underlying asset is higher than the strike price of a Call option the option is said to be,single_correct,At-the-money (ATM),Out-of-the-money (OTM),In-the-money (ITM),Deep out-of-the-money,C,1,0.25,"For call options, when Spot Price > Strike Price, the option has positive intrinsic value and is In-The-Money (ITM)."
Common Derivatives Foundations,"",State whether TRUE or FALSE: Futures contracts are standardized in terms of lot size expiry date and settlement procedure.,single_correct,True,False,,,A,1,0.25,"Futures contracts are exchange-traded and strictly standardized by the exchange authority."
Common Derivatives Foundations,"",The process of daily adjustment of profit and loss resulting from market price movements in futures contracts is called,single_correct,Value at Risk (VaR),Mark to Market (MTM),SPAN Margining,Novation,B,1,0.25,"Mark to Market (MTM) is the daily settlement where gains or losses are credited or debited based on closing settlement prices."
Common Derivatives Foundations,"",The legal mechanism through which a Clearing Corporation becomes the buyer to every seller and seller to every buyer is known as,single_correct,Securitization,Syndication,Novation,Subrogation,C,1,0.25,"Novation replaces the contract between original counterparties with two contracts with the clearing house, eliminating counterparty risk."
Common Derivatives Foundations,"",Which option Greek measures the rate of change of Delta with respect to changes in the underlying asset price?,single_correct,Vega,Theta,Gamma,Rho,C,1,0.25,"Gamma measures the curvature or sensitivity of Delta relative to movements in the underlying price."
Common Derivatives Foundations,"",An American option can be exercised,single_correct,Only on the expiration date,Any time on or before the expiration date,Only during post-closing session,Only on quarterly settlement dates,B,1,0.25,"American options can be exercised at any point up to expiration, whereas European options can only be exercised on expiration date."
Common Derivatives Foundations,"",Intrinsic value of an Out-of-the-Money (OTM) option is always,single_correct,Positive,Negative,Zero,Equal to the premium paid,C,1,0.25,"Intrinsic value cannot be negative. If an option is OTM, its intrinsic value is exactly zero."
Common Derivatives Foundations,"",Which risk is completely eliminated when trading through an exchange-backed Clearing Corporation?,single_correct,Market risk,Counterparty default risk,Interest rate risk,Liquidity risk,B,1,0.25,"Clearing Corporations guarantee settlement of all trades, effectively eliminating counterparty default risk."
Common Derivatives Foundations,"",State whether TRUE or FALSE: The maximum potential loss for a buyer of a put option is limited to the premium paid.,single_correct,True,False,,,A,1,0.25,"Option buyers only risk losing the upfront premium paid to the writer."
Common Derivatives Foundations,"",The time decay of an option premium is measured by which of the following Greeks?,single_correct,Delta,Theta,Vega,Rho,B,1,0.25,"Theta measures the sensitivity of option value with respect to the passage of time (time decay)."
Common Derivatives Foundations,"",In a cash-settled futures contract upon expiration,single_correct,The physical commodity or shares are delivered,The difference between entry price and final settlement price is settled in cash,The contract is automatically rolled over without settlement,A new loan is created by the exchange,B,1,0.25,"In cash settlement, parties settle the financial difference without physical delivery of the underlying asset."
Common Derivatives Foundations,"",Which of the following strategies involves simultaneously buying a call option and selling a call option of the same underlying with different strikes?,single_correct,Straddle,Strangle,Vertical Spread,Calendar Spread,C,1,0.25,"A vertical spread involves options of the same underlying and expiration but differing strike prices."
