passage_title,passage_text,question_text,question_type,option_a,option_b,option_c,option_d,correct_answers,marks,negative_marks,solution_text
NISM Series VIII Review,"",An index option is a,single_correct,Debt instrument,Derivative product,Cash market product,Money market instrument,B,1,0.25,An index option is a derivative instrument with an index as its underlying.
NISM Series VIII Review,"",The purchase of a share in one market and the simultaneous sale in a different market to benefit from price differentials is known as,single_correct,Mortgage,Arbitrage,Hedging,Speculation,B,1,0.25,Simultaneous buying and selling across markets to capture price discrepancies is arbitrage.
NISM Series VIII Review,"",Financial derivatives provide the facility for,single_correct,Trading,Hedging,Arbitraging,All of the above,D,1,0.25,Derivatives facilitate trading hedging and arbitrage strategies.
NISM Series VIII Review,"",Operational risks include losses due to,single_correct,Inadequate disaster planning,Too much of management control,Income tax regulations,Government policies,A,1,0.25,Operational risk stems from internal failures flawed processes or inadequate contingency planning.
NISM Series VIII Review,"",State whether TRUE or FALSE: Impact cost is low when the liquidity in the system is poor.,single_correct,True,False,,,B,1,0.25,Impact cost is high when liquidity is poor because transactions cause larger price deviations.
NISM Series VIII Review,"",Which of the following costs is not actually paid by the market participants but arises due to lack of liquidity?,single_correct,Securities Transaction Tax,Impact cost,SEBI charges,Brokerage,B,1,0.25,Impact cost represents an implicit cost of trading arising from illiquidity and bid-ask spreads.
NISM Series VIII Review,"",You sold one XYZ Stock Futures contract at Rs. 278 and the lot size is 1200. What is your profit (+) or loss (-) if you purchase the contract back at Rs. 265?,single_correct,16600,15600,-15600,-16600,B,1,0.25,Profit = (278 - 265) * 1200 = 15600.
NISM Series VIII Review,"",A calendar spread contract in index futures attracts,single_correct,Same margin as sum of two independent legs of futures contract,Lower margin than sum of two independent legs of futures contract,Higher margin than sum of two independent legs of futures contract,No margin needs to be paid for calendar spread positions,B,1,0.25,Calendar spreads have lower risk profiles due to offsetting legs and attract lower margins.
NISM Series VIII Review,"",Margins in 'Futures' trading are to be paid by,single_correct,Only the buyer,Only the seller,Both the buyer and the seller,The clearing corporation,C,1,0.25,Both buyers and sellers in futures contracts have obligations and must post initial margins.
NISM Series VIII Review,"",When the near leg of the calendar spread transaction on index futures expires the farther leg becomes a regular open position.,single_correct,True,False,,,A,1,0.25,When the near leg expires the remaining far leg continues as a standalone unhedged open position.
