passage_title,passage_text,question_text,question_type,option_a,option_b,option_c,option_d,correct_answers,marks,negative_marks,solution_text
Practice Questions 1,"",Which of these is a derivative ?,single_correct,Index Options,Index Futures,Both 1 and 2,None of the above,C,1,0.25,Both Index futures and Index options are derivative instruments.
Practice Questions 1,"",If yield-to-maturity rises then,single_correct,Reinvestment income rises,Bond price falls,Both 1 and 2,None of the above,C,1,0.25,"If the market rate rises, the bond price falls but reinvestment income rises."
Practice Questions 1,"",The Conversion Factor in physical settlement of bond futures will be,single_correct,same for all Deliverable bonds,different for different Deliverable bonds,there is no conversion factor in physical settlement,None of the above,B,1,0.25,A Conversion Factor is employed which is specific to each Deliverable Bond.
Practice Questions 1,"",A Trading member of the Exchange can do which of the following ?,single_correct,Execution of trades,Clearing and settlement of trades,Both 1 and 2,None of the above,A,1,0.25,"Trading member is a member of Exchange but not Clearing Corporation, so it can only execute trades."
Practice Questions 1,"",The Constituent Subsidiary General Ledger (CSGL) Account can be opened by,single_correct,Stock Holding Corporation of India Ltd (SHIL),Clearing Corporation of India Ltd (CCIL),Both 1 and 2,None of the above,C,1,0.25,CSGL account can be opened by SHIL and CCIL.
Practice Questions 1,"",When the original period of borrowing/lending is less than one year it is known as,single_correct,Bond Market,Currency Market,Money Market,Equity Market,C,1,0.25,"In money market, the period is less than one year; and in bond market, it is one year or more."
Practice Questions 1,"",If the Treasury bill futures contract price changes by 500 ticks the change in value of one futures contract is,single_correct,500,5,2500,5000,C,1,0.25,Tick value is 5. 500 ticks * 5 = 2500.
Practice Questions 1,"",One Basis Point is equal to,single_correct,1%,0.1%,0.01%,0.001%,C,1,0.25,The change in YTM of 0.01% (or 0.0001) is called a basis point (BP).
Practice Questions 1,"",In India the minimum and multiple amounts of issue for T bills is,single_correct,Rs. 2500,Rs. 10000,Rs. 25000,Rs. 100000,C,1,0.25,Treasury Bills are issued by the Govt. of India at minimum and in multiples of Rs 25000.
Practice Questions 1,"",The Clearing Account is used exclusively for,single_correct,all transactions of the Clearing Members,making and receiving payments with Stock Exchange,making and receiving payments with SEBI,making and receiving payments with Clearing Corporation,D,1,0.25,Clearing Account should be used exclusively for making and receiving payments with Clearing Corporation.
Practice Questions 1,"",Of the below mentioned four values which one can be bought or sold for Govt. Bond Futures ?,single_correct,Rs 1 lakh,Rs 3 Lakh,Rs 6 Lakh,Rs 9 lakh,C,1,0.25,Face value will always be an integral multiple of Rs 2 lakhs.
Practice Questions 1,"",The underlying for Bond Derivatives' should be,single_correct,Borrowing and Lending of money,A specific instrument issued by a specific borrower,Interest rate on specific instrument,None of the above,B,1,0.25,The underlying for Bond Derivatives is the specific instrument.
Practice Questions 1,"",The underlying for Interest rate futures is,single_correct,Bond,Interest Rate,Commodity,Currency,A,1,0.25,An interest bearing instrument like a Bond is the underlying for Interest rate futures.
Practice Questions 1,"",Which of the following is a correct measure of the realized return for a coupon bond ?,single_correct,Yield-to-maturity (YTM),Current yield,Coupon,None of the above,D,1,0.25,None of them consider both Price Risk and Reinvestment risks accurately.
Practice Questions 1,"",_______ is/are secured money market instrument(s).,single_correct,Certificate of deposits,Commercial paper,Both 1 and 2,None of the above,D,1,0.25,Both CD and CP are unsecured money market instruments.
Practice Questions 1,"",Fixed-income securities market consists of which of the following markets ?,single_correct,Bond Markets,Money Markets,Both 1 and 2,None of the above,C,1,0.25,Fixed-income securities market consists of both money and bond markets.
Practice Questions 1,"",Which of the following underlying has the largest size of outstanding derivatives globally?,single_correct,Equity,Interest Rates,Currency,Commodity,B,1,0.25,The interest rate derivatives market is the largest derivatives market globally.
Practice Questions 1,"",Calendar spread consists of buying and selling futures on,single_correct,"same underlying, same quantity and same expiry month","different underlying, same quantity and different expiry month","same underlying, different quantity and same expiry month",None of the above,D,1,0.25,Calendar spread involves same underlying and same quantity with different expiry months.
Practice Questions 1,"",Current yield is an unsatisfactory measure of return because,single_correct,it ignores the capital gain/loss at redemption,it ignores the premium/discount in bond price,both 1 and 2,None of the above,A,1,0.25,Current yield ignores capital gains/losses at redemption and reinvestment rate.
Practice Questions 1,"",Which risk does one face when the changes in prices of spot Treasury Bill and Treasury Bill futures are not same ?,single_correct,Yield curve spread risk,Basis Risk,Market liquidity risk,None of the above,B,1,0.25,Basis risk is the risk of price deviation between futures and underlying spot.
Practice Questions 1,"",The effect of reinvestment risk on a bond is,single_correct,Immediate,Over a period of time,No effect,None of the above,B,1,0.25,Reinvestment risk affects the bond over the investment period.
Practice Questions 1,"",The contract amount (market lot) for Govt. Bond futures is,single_correct,Rs 25000,Rs 100000,Rs 200000,Rs 500000,C,1,0.25,Contract Amount is Rs 200000 face value.
Practice Questions 1,"",Yield to maturity - YTM assumes that term structure of zero rates is,single_correct,Flat,Normal,Humped,Inverted,A,1,0.25,YTM assumes that the term structure of zero rates is flat.
Practice Questions 1,"",Which of the following is a 'risk-free' security ?,single_correct,Bank deposit,Certificate of deposit,Commercial paper,None of the above,D,1,0.25,Only Sovereign bonds issued by the government are considered risk-free in terms of credit risk.
Practice Questions 1,"",The maturity of the underlying for Treasury Bill futures in India is,single_correct,14 day,91 day,182 day,364 day,B,1,0.25,Underlying for Treasury Bill futures is 91 day.
Practice Questions 1,"",What is Term Structure ?,single_correct,Its the change of rates over a period of time,Its a snapshot of rates at a point of time,Both 1 and 2,None of the above,B,1,0.25,Term structure is a snapshot of rates at a point of time.
Practice Questions 1,"",When securities are delivered short the auction is conducted on,single_correct,First business day after the day of intention,Second business day after the day of intention,On the settlement day,seven days after the day of intention,C,1,0.25,Short deliveries on settlement day are auctioned on the same day.
Practice Questions 1,"",Amongst the following options which one is true with respect to 'CLEARING ACCOUNTS' ?,single_correct,It has to be used only for the payments with SEBI,It cannot be closed or shifted without the prior permission of the Clearing Corporation,The Clearing Corporation cannot directly debit or credit amounts in it for the member,Closure does not require prior permission of the Clearing Member,B,1,0.25,Shifting or closing a Clearing Account requires prior approval of the Clearing Corporation.
Practice Questions 1,"",The permissible maturity for underlying of Treasury Bill futures in India are,single_correct,"91, 182 and 364 days","14, 182 and 364 days","14, 91 and 182 days",None of the above,D,1,0.25,Futures for only 91 day T-Bill underlying is permissible.
